rank,char,freq,freq_rank
689,免,48044,755
690,狂,24259,1147
691,犹,20747,1229
692,角,50081,736
693,删,2577,2696
694,条,191280,214
695,卵,6971,1996
696,岛,44056,798
697,迎,27228,1069
698,饭,35076,935
699,饮,12453,1566
700,系,190769,216
701,言,120308,355
702,冻,5984,2105
703,状,64495,624
704,亩,4439,2324
705,况,100680,419
706,床,27283,1068
707,库,25924,1097
708,疗,34467,949
709,应,280384,144
710,冷,53460,700
711,这,1552042,11
712,序,41129,836
713,辛,14713,1460
714,弃,25730,1105
715,冶,2525,2706
716,忘,27961,1056
717,闲,13316,1526
718,间,292227,135
719,闷,8708,1822
720,判,52045,719
721,灶,2891,2622
722,灿,3254,2534
723,弟,42706,816
724,汪,8294,1867
725,沙,40573,848
726,汽,22098,1199
727,沃,9047,1799
728,泛,17928,1325
729,沟,11735,1607
730,没,428146,72
731,沈,10628,1674
732,沉,48772,747
733,怀,47561,762
734,忧,14753,1458
735,快,116923,366
736,完,143120,301
737,宋,31748,990
738,宏,9134,1790
739,牢,10454,1689
740,究,98377,429
741,穷,17672,1341
742,灾,17531,1347
743,良,41167,835
744,证,115610,373
745,启,18041,1318
746,评,42966,809
747,补,34542,944
748,初,58587,667
749,社,159527,270
750,识,125220,340
751,诉,68147,595
752,诊,15931,1399
753,词,33669,959
754,译,22170,1197
755,君,31960,985
756,灵,50134,734
757,即,146459,293
758,层,53705,699
759,尿,8292,1868
760,尾,19076,1280
761,迟,16808,1372
762,局,84587,483
763,改,121023,350
764,张,136087,318
765,忌,7938,1911
766,际,99412,423
767,陆,57430,675
768,阿,87159,471
769,陈,77914,525
770,阻,23151,1174
771,附,35955,923
772,妙,20165,1249
773,妖,8337,1860
774,妨,8311,1864
775,努,26564,1081
776,忍,24862,1127
777,劲,17307,1356
778,鸡,16164,1389
779,驱,13692,1508
780,纯,24890,1125
781,纱,4069,2393
782,纳,55597,684
783,纲,7832,1923
784,驳,6879,2010
785,纵,20599,1235
786,纷,22820,1180
787,纸,30001,1020
788,纹,9463,1761
789,纺,4175,2372
790,驴,3532,2494
791,纽,9466,1760
792,奉,16453,1380
793,玩,27043,1072
794,环,55971,681
795,武,81863,501
796,青,82619,497
797,责,76377,535
798,现,433960,70
799,表,226768,177
800,规,134528,321
801,抹,6299,2068
802,拢,4390,2338
803,拔,13865,1499
804,拣,1981,2840
805,担,51792,720
806,坦,30341,1017
807,押,9401,1768
808,抽,22937,1177
809,拐,5282,2203
810,拖,13973,1489
811,拍,23483,1167
812,者,360974,103
813,顶,31318,1000
814,拆,6412,2059
815,拥,27833,1059
816,抵,25228,1119
817,拘,6224,2079
818,势,80705,506
819,抱,25069,1122
820,垃,3127,2566
821,拉,134051,324
822,拦,7091,1984
823,拌,950,3210
824,幸,37198,902
825,招,34625,941
826,坡,12758,1547
827,披,6790,2019
828,拨,9047,1800
829,择,33615,961
830,抬,16315,1384
831,其,403028,85
832,取,134102,323
833,苦,63194,634
834,若,60736,651
835,茂,4798,2276
836,苹,3805,2436
837,苗,7946,1909
838,英,116193,371
839,范,53033,705
840,直,169439,255
841,茄,1596,2969
842,茎,2956,2609
843,茅,4637,2306
844,林,117675,364
845,枝,13982,1488
846,杯,16068,1394
847,柜,7101,1982
848,析,27019,1073
849,板,35332,930
850,松,37563,895
851,枪,38569,874
852,构,80364,511
853,杰,24796,1129
854,述,57744,674
855,枕,3206,2547
856,丧,15731,1402
857,或,260786,160
858,画,38263,883
859,卧,7696,1932
860,事,499172,58
861,刺,27891,1058
862,枣,2319,2755
863,雨,35370,928
864,卖,32694,974
865,矿,16360,1383
866,码,17626,1343
867,厕,2118,2806
868,奔,18989,1283
869,奇,71919,563
870,奋,19499,1266
871,态,77219,528
872,欧,42504,823
873,垄,4642,2303
874,妻,26847,1076
875,轰,19670,1262
876,顷,2753,2651
877,转,115087,376
878,斩,3844,2422
879,轮,25958,1096
880,软,28885,1043
881,到,965035,22
882,非,149915,283
883,叔,15310,1420
884,肯,39813,860
885,齿,9415,1766
886,些,400528,86
887,虎,26514,1083
888,虏,3811,2432
889,肾,4437,2326
890,贤,7713,1931
891,尚,38376,878
892,旺,5529,2171
893,具,108811,391
894,果,246831,165
895,味,40704,844
896,昆,9557,1752
897,国,985350,20
898,昌,11787,1603
899,畅,6012,2102
900,明,309873,121
901,易,89730,461
902,昂,7637,1940
903,典,28860,1044
904,固,37582,893
905,忠,18021,1320
906,咐,6257,2074
907,呼,40709,843
908,鸣,10636,1673
909,咏,1067,3156
910,呢,112185,383
911,岸,32807,971
912,岩,15279,1421
913,帖,2191,2782
914,罗,108376,392
915,帜,2452,2725
916,岭,5429,2187
917,凯,14990,1444
918,败,39627,862
919,贩,3837,2425
920,购,26803,1078
921,图,85957,476
922,钓,4813,2272
923,制,250754,163
924,知,306384,123
925,垂,11949,1589
926,牧,12193,1577
927,物,281146,142
928,乖,3828,2428
929,刮,4565,2315
930,秆,502,3400
931,和,1010465,19
932,季,19211,1277
933,委,90263,457
934,佳,12061,1580
935,侍,8320,1862
936,供,74168,550
937,使,316273,119
938,例,74579,547
939,版,42853,810
940,侄,2987,2600
941,侦,14329,1476
942,侧,20960,1219
943,凭,15619,1408
944,侨,4633,2307
945,佩,13784,1504
946,货,42602,818
947,依,70632,568
948,的,7922684,1
949,迫,30930,1007
950,质,104560,404
951,欣,13500,1520
952,征,49855,739
953,往,116539,369
954,爬,15255,1424
955,彼,20021,1255
956,径,18428,1305
957,所,523028,54
958,舍,17647,1342
959,金,167912,260
960,命,168358,258
961,斧,2598,2688
962,爸,28526,1050
963,采,68946,585
964,受,180928,238
965,乳,8701,1823
966,贪,8304,1865
967,念,85953,477
968,贫,17263,1358
969,肤,9214,1782
970,肺,6692,2030
971,肢,4651,2302
972,肿,9202,1783
973,胀,6327,2065
974,朋,38271,882
975,股,61861,644
976,肥,11594,1617
977,服,116961,365
978,胁,13948,1491
979,周,83366,490
980,昏,12600,1558
981,鱼,40452,852
982,兔,4418,2329
983,狐,4718,2288
984,忽,36378,912
985,狗,19093,1279
986,备,107114,397
987,饰,11794,1601
988,饱,7059,1986
989,饲,7399,1959
990,变,185121,225
991,京,71245,566
992,享,20830,1226
993,店,28926,1041
994,夜,58839,665
995,庙,8220,1880
996,府,100771,417
997,底,75728,543
998,剂,12821,1543
999,郊,4565,2316
1000,废,16754,1374
1001,净,16751,1375
1002,盲,6395,2062
1003,放,147600,291
1004,刻,65015,618
1005,育,66551,609
1006,闸,1352,3055
1007,闹,17764,1334
1008,郑,24716,1132
1009,券,14293,1478
1010,卷,30343,1016
1011,单,109359,389
1012,炒,3260,2533
1013,炊,1262,3081
1014,炕,1949,2847
1015,炎,17971,1322
1016,炉,7295,1968
1017,沫,3731,2453
1018,浅,10088,1714
1019,法,466816,65
1020,泄,6955,1998
1021,河,69687,574
1022,沾,4201,2366
1023,泪,19411,1269
1024,油,34469,948
1025,泊,6695,2029
1026,沿,22781,1181
1027,泡,7046,1988
1028,注,82869,492
1029,泻,2816,2642
1030,泳,3198,2550
1031,泥,13874,1495
1032,沸,2860,2628
1033,波,58859,664
1034,泼,4688,2293
1035,泽,34311,951
1036,治,156904,274
1037,怖,9400,1769
1038,性,309844,122
1039,怕,63520,631
1040,怜,11848,1596
1041,怪,46600,775
1042,学,464261,66
1043,宝,42836,811
1044,宗,50799,727
1045,定,422538,77
1046,宜,18833,1288
1047,审,48862,746
1048,宙,15331,1419
1049,官,97897,432
1050,空,158539,272
1051,帘,3875,2417
1052,实,368494,100
1053,试,61912,643
1054,郎,14845,1454
1055,诗,36762,906
1056,肩,15528,1413
1057,房,80320,512
1058,诚,23947,1154
1059,衬,3700,2460
1060,衫,5802,2127
1061,视,96326,438
1062,话,240067,170
1063,诞,7085,1985
1064,询,11643,1614
1065,该,136053,319
1066,详,15099,1437
1067,建,178289,244
1068,肃,13581,1515
1069,录,36080,919
1070,隶,9100,1793
1071,居,56307,678
1072,届,13521,1519
1073,刷,8773,1816
1074,屈,10591,1677
1075,弦,5117,2228
1076,承,62285,639
1077,孟,12274,1572
1078,孤,17817,1332
1079,陕,5769,2133
1080,降,49306,744
1081,限,66018,613
1082,妹,22723,1184
1083,姑,31647,994
1084,姐,41762,830
1085,姓,24142,1149
1086,始,112987,381
1087,驾,12492,1564
1088,参,80663,507
1089,艰,11164,1643
1090,线,98261,430
1091,练,30963,1005
1092,组,119734,358
1093,细,67915,597
1094,驶,13537,1517
1095,织,69482,578
1096,终,72533,558
1097,驻,18901,1286
1098,驼,3084,2576
1099,绍,20681,1233
1100,经,481338,62
1101,贯,14361,1475
1102,奏,12859,1540
1103,春,36027,921
1104,帮,47065,769
1105,珍,18144,1312
1106,玻,9447,1762
1107,毒,34517,947
1108,型,73216,556
1109,挂,20706,1231
1110,封,38954,871
1111,持,119990,357
1112,项,70453,571
1113,垮,2958,2607
1114,挎,574,3358
1115,城,102833,413
